001	World
002	Africa
011	Western Africa
012	Algeria
015	Northern Africa
017	Middle Africa
018	Southern Africa
024	Angola
072	Botswana
104	Eastern Africa
108	Burundi
120	Cameroon
132	Cape Verde
140	Central African Republic
148	Chad
174	Comoros
175	Mayotte
178	Congo
180	Democratic Republic of the Congo
204	Benin
226	Equatorial Guinea
231	Ethiopia
232	Eritrea
262	Djibouti
266	Gabon
270	Gambia
288	Ghana
324	Guinea
384	Cote d'Ivoire
404	Kenya
426	Lesotho
430	Liberia
434	Libyan Arab Jamahiriya
450	Madagascar
454	Malawi
466	Mali
478	Mauritania
480	Mauritius
504	Morocco
508	Mozambique
516	Namibia
562	Niger
566	Nigeria
624	Guinea-Bissau
638	Réunion
646	Rwanda
654	Saint Helena
678	Sao Tome and Principe
686	Senegal
690	Seychelles
694	Sierra Leone
706	Somalia
710	South Africa
716	Zimbabwe
732	Western Sahara
736	Sudan
748	Swaziland
768	Togo
788	Tunisia
800	Uganda
818	Egypt
834	United Republic of Tanzania
854	Burkina Faso
894	Zambia
009	Oceania
053	Australia and New Zealand
036	Australia
554	New Zealand
574	Norfolk Island
054	Melanesia
242	Fiji
540	New Caledonia
598	Papua New Guinea
090	Solomon Islands
548	Vanuatu
057	Micronesia
316	Guam
296	Kiribati
584	Marshall Islands
583	Micronesia, Federated States of
520	Nauru
580	Northern Mariana Islands
585	Palau
061	Polynesia
016	American Samoa
184	Cook Islands
258	French Polynesia
570	Niue
612	Pitcairn
882	Samoa
772	Tokelau
776	Tonga
798	Tuvalu
876	Wallis and Futuna Islands
019	Americas
021	Northern America
060	Bermuda
124	Canada
304	Greenland
666	Saint Pierre and Miquelon
840	United States of America
419	Latin America and the Caribbean
005	South America
032	Argentina
068	Bolivia
076	Brazil
152	Chile
170	Colombia
218	Ecuador
238	Falkland Islands (Malvinas)
254	French Guiana
328	Guyana
600	Paraguay
604	Peru
740	Suriname
858	Uruguay
862	Venezuela (Bolivarian Republic of)
013	Central America
084	Belize
188	Costa Rica
222	El Salvador
320	Guatemala
340	Honduras
484	Mexico
558	Nicaragua
591	Panama
029	Caribbean
660	Anguilla
028	Antigua and Barbuda
533	Aruba
044	Bahamas
052	Barbados
092	British Virgin Islands
136	Cayman Islands
192	Cuba
212	Dominica
214	Dominican Republic
308	Grenada
312	Guadeloupe
332	Haiti
388	Jamaica
474	Martinique
500	Montserrat
530	Netherlands Antilles
630	Puerto Rico
652	Saint-Barthélemy
659	Saint Kitts and Nevis
662	Saint Lucia
663	Saint Martin (French part)
670	Saint Vincent and the Grenadines
780	Trinidad and Tobago
796	Turks and Caicos Islands
850	United States Virgin Islands
142	Asia
030	Eastern Asia
156	China
344	Hong Kong Special Administrative Region of China
446	Macao Special Administrative Region of China
408	Democratic People's Republic of Korea
392	Japan
496	Mongolia
410	Republic of Korea
034	Southern Asia
004	Afghanistan
050	Bangladesh
064	Bhutan
356	India
364	Iran, Islamic Republic of
462	Maldives
524	Nepal
586	Pakistan
144	Sri Lanka
035	South-Eastern Asia
096	Brunei Darussalam
116	Cambodia
360	Indonesia
418	Lao People's Democratic Republic
458	Malaysia
104	Myanmar
608	Philippines
702	Singapore
764	Thailand
626	Timor-Leste
704	Viet Nam
143	Central Asia
398	Kazakhstan
417	Kyrgyzstan
762	Tajikistan
795	Turkmenistan
860	Uzbekistan
145	Western Asia
051	Armenia
031	Azerbaijan
048	Bahrain
196	Cyprus
268	Georgia
368	Iraq
376	Israel
400	Jordan
414	Kuwait
422	Lebanon
275	Occupied Palestinian Territory
512	Oman
634	Qatar
682	Saudi Arabia
760	Syrian Arab Republic
792	Turkey
784	United Arab Emirates
887	Yemen
150	Europe
039	Southern Europe
008	Albania
020	Andorra
070	Bosnia and Herzegovina
191	Croatia
292	Gibraltar
300	Greece
336	Holy See
380	Italy
470	Malta
499	Montenegro
620	Portugal
674	San Marino
688	Serbia
705	Slovenia
724	Spain
807	The former Yugoslav Republic of Macedonia
151	Eastern Europe
112	Belarus
100	Bulgaria
203	Czech Republic
348	Hungary
498	Moldova
616	Poland
642	Romania
643	Russian Federation
703	Slovakia
804	Ukraine
154	Northern Europe
248	Åland Islands
830	Channel Islands
208	Denmark
233	Estonia
234	Faeroe Islands
246	Finland
831	Guernsey
352	Iceland
372	Ireland
833	Isle of Man
832	Jersey
428	Latvia
440	Lithuania
578	Norway
744	Svalbard and Jan Mayen Islands
752	Sweden
826	United Kingdom of Great Britain and Northern Ireland
155	Western Europe
040	Austria
056	Belgium
250	France
276	Germany
438	Liechtenstein
442	Luxembourg
492	Monaco
528	Netherlands
756	Switzerland
